f,omega,E_stor,E_loss,E_comp,tan_del,t,E_relax
Hz,rad/s,MPa,MPa,MPa,-,s,MPa
0.17937246421227276,1.1270304316511484,869.3350751809055,22.628081229987334,869.6295205430537,0.026029182390091082,5.574991704504773,868.7875520112271
0.22696581823900192,1.4260682943912895,869.4315224709222,28.601909118955305,869.9018573789544,0.03289725341182564,4.405949793492558,868.8686980098203
0.2871872384377662,1.804450636961653,869.5859267828274,36.166035822066135,870.3376736680033,0.04158995069741778,3.482048873201241,868.9328348965759
0.36338736185666554,2.2832301328325526,869.8331058133625,45.74021944889484,871.0349015074846,0.05258505240051094,2.751884366288005,868.9835268598067
0.459805858628926,2.8890454150923617,870.2287749147796,57.854927717413496,872.1498227660574,0.06648243471732954,2.174830923167996,869.0235916447136
0.5818073213918675,3.6556032133788934,870.8620615194969,73.17969779286139,873.931346481543,0.08403133059347659,1.7187820834012246,869.0552567231044
0.736179743847842,4.625553749987993,871.8754688777382,92.55805305886607,876.7746725452462,0.10615971702702573,1.3583639163626402,869.0802828484448
0.9315121954040262,5.852863739621177,873.4966535300144,117.04971687426806,881.3041699370771,0.13400133406492334,1.0735232506175278,869.1000617853671
1.1786727051889287,7.405819023216694,876.0888287803197,147.98005474828093,888.4985832948619,0.16890987521698797,0.8484119430251086,869.1156935978761
1.4914129442554616,9.370823898283364,880.2302556128725,186.9946605114695,899.8734944180225,0.2124383470337223,0.6705051098367775,869.128047763158
1.8871333496572407,11.857208535254971,886.8384462517695,236.112526236942,917.7317444636222,0.2662407423075462,0.5299042593792482,869.1378114904803
2.3878512608500952,15.003311957903568,897.3612865193517,297.7619442264904,945.4731376264508,0.33181946747606783,0.4187865535829026,869.1455279205828
3.0214259341975027,18.984179036481105,914.0637101687487,374.76503163647016,987.9075337221307,0.40999880803416144,0.3309695560237528,869.1516263228033
3.8231085937032967,24.021299743708564,940.4391541695963,470.2030849888605,1051.435563326763,0.4999824634099244,0.2615672496583046,869.1564459649924
4.837503760663946,30.3949325524297,981.754341970608,587.0385091965808,1143.8775280850157,0.5979484725458496,0.20671818555087806,869.1602549811603
6.121050987926492,38.459697631836825,1045.659148189784,727.2904364967013,1273.7167790417723,0.6955329925203316,0.16337063716222208,869.1632653025649
7.745165079035207,48.66430742627443,1142.598602675726,890.4980491222558,1448.6263639486424,0.7793621023488883,0.1291128064793381,869.1656484717247
9.800209509744217,61.57653239890652,1285.3903192396513,1071.2978190051167,1673.29235036802,0.8334416425656784,0.1020386348889494,869.1678252442815
12.40052412760774,77.9147909999109,1486.8700946110312,1256.498179302528,1946.6818828044773,0.8450625134344577,0.08064175269605448,869.1779412560469
15.690786863942783,98.58812148161175,1754.5635205211731,1423.3692007419784,2259.308086376117,0.8112383416698318,0.06373166678453752,869.3004497398123
19.85406341507401,124.74675953740477,2083.1646377636002,1542.393492779081,2592.017089950605,0.7404088303049015,0.05036752321646961,870.2542795695758
25.1219927660613,157.8461358347882,2449.492609507247,1586.7990983075172,2918.5519393048617,0.6478072610420026,0.03980575941216557,874.9484481640711
31.787675265450623,199.7278541772753,2816.509700982467,1545.3143021304713,3212.5882381807555,0.5486628722036455,0.03145873335024533,890.8597959205737
40.22198032581329,252.72215580881647,3146.905797939037,1428.4969533514354,3455.954231010107,0.453936992421884,0.024862027973252952,930.8700133327357
50.89418108811731,319.77757083379583,3416.8882018554523,1262.7908539973203,3642.7689639775767,0.3695733601443543,0.01964861166090122,1010.1377627453918
64.39806413429504,404.62497037941125,3620.582366314759,1077.8168413540552,3777.605831049054,0.2976915679040663,0.015528417095187996,1140.0099556608432
81.48496695652771,511.98514713726905,3765.1999082016055,896.6230153927494,3870.486168487541,0.23813423915146345,0.012272202313507726,1322.9436844638612
103.10558134262928,647.831473780218,3863.5004059127214,732.7190005049418,3932.367292126808,0.18965159143857857,0.009698796000935279,1551.4591105653544
130.4628485604352,819.7222532077219,3928.3562768198512,591.6922836691865,3972.666962656646,0.1506208301829953,0.007665017367275736,1810.9618035986775
165.07888935655373,1037.221252130623,3970.3091347559584,474.13026282665965,3998.5189922838535,0.11941897890925887,0.006057709764693782,2084.2004784625065
208.8796926626175,1312.4298159059458,3997.101041076561,378.0722132880318,4014.941510288268,0.09458660399192799,0.004787444807357124,2355.1760542745283
264.3022749722502,1660.6601707597813,4014.0709851701176,300.575299073666,4025.3088557771343,0.07488041446803849,0.003783546698964255,2611.4572557488314
334.4302725891975,2101.2873750085096,4024.76389933124,238.55919872763687,4031.827741441539,0.05927284300261096,0.0029901599285790887,2844.907659212946
423.16551091294116,2658.8273206733347,4031.479531670061,189.19600920215296,4035.9165432616014,0.04692967128218993,0.0023631415467734855,3051.3346712074954
535.4450966410351,3364.300764016305,4035.6885967295852,150.0511853312889,4038.477164475805,0.03718106135663847,0.0018676051125936534,3229.625113991692
677.5161115999151,4256.959277782032,4038.3233107561773,119.10219819271225,4040.0792685058877,0.029492982366092508,0.0014759796599354042,3380.7770150866972
857.2831917913768,5386.469154755598,4039.971314155643,94.7042646413991,4041.081181681672,0.023441816111308793,0.0011664756868852199,3507.0505942922955
1084.748330475131,6815.6747720289295,4041.0017858900605,75.53815201502492,4041.7077388124567,0.018692927154543952,0.0009218728177825262,3611.321065089528
1372.5673753264643,8624.09516576529,4041.6461994373094,60.55640045775248,4042.0998353655796,0.014983102792664862,0.000728561685186602,3696.6345099253426
1736.7541824059683,10912.348361075876,4042.049555696579,48.93479628467247,4042.3457577246327,0.012106431554186966,0.0005757867233776719,3765.931943495612
2197.5716051004065,13807.749620641933,4042.3027115726973,40.0313483649521,4042.5009240369873,0.009903105042169768,0.0004550477434633172,3821.8976008473937
2780.65889143471,17471.395090940845,4042.462729085237,33.35296104419843,4042.6003186134635,0.008250653940288975,0.0003596269945516545,3866.8915059601554
3518.4582165920524,22107.124970416473,4042.5656917565707,28.52918121214264,4042.666358524769,0.007057196688310629,0.0002842153973249656,3902.93498764376
4452.019720950659,27972.864897950938,4042.6348235626015,25.292169611483732,4042.71394121878,0.006256357725923615,0.0002246171541635637,3931.7267014563845
5633.285483472794,35394.97658090431,4042.685720308033,23.46208373942366,4042.7538018726636,0.005803588347608669,0.00017751630073317755,3954.674146232638
7127.97950758606,44786.416111941915,4042.729865201384,22.937206856778772,4042.7949340090936,0.005673692683306749,0.00014029221028704345,3972.931227955049
9019.264514399289,56669.71027843984,4042.7772184695987,23.68834403249084,4042.8466178943504,0.0058594235478199586,0.00011087378559565432,3987.436302930639
11412.369002201442,71706.02923474385,4042.8384638596744,25.757202191613146,4042.9205134813114,0.006371068847263042,8.762422594354427e-05,3998.9476923123702
14440.442015474346,90731.97310080718,4042.927417973518,29.25866632711261,4043.033289073596,0.007237000149208283,6.924995778719253e-05,4008.075268699592
18271.96137472002,114806.11924299375,4043.064144716626,34.387075530523674,4043.2103765766037,0.00850520157476597,5.4728662101023234e-05,4015.307675648405
23120.107550827863,145267.92006377343,4043.2794745208384,41.4267878546382,4043.4916950370334,0.010245838338827076,4.325239395195603e-05,4021.035277974628
29254.624733467524,183812.22829237566,4043.62194029382,50.767493339931214,4043.940619544948,0.012554955455663177,3.41826295538152e-05,4025.5692126137506
37016.8290270503,232583.59626114127,4044.1686752606697,62.9248641277832,4044.658182403692,0.01555940643937838,2.7014739681490364e-05,4029.157022206764
46838.59880965426,294295.5958496989,4045.0426808214884,78.5671577750593,4045.8056166786296,0.019423072628520072,2.1349912794442572e-05,4031.9953747769187
59266.403852382144,372381.7978946591,4046.4402306420634,98.54817939926373,4047.6400882269045,0.024354290137043922,1.6872965710738096e-05,4034.24034553455
74991.71014632631,471186.81135166774,4048.674262336727,123.94627779119428,4050.57106619377,0.030614040488319654,1.3334807248011371e-05,4036.015686798494
94889.45211992276,596208.0113662195,4052.24270248347,156.10723092932372,4055.248498844301,0.038523662670464275,1.0538579132443346e-05,4037.4194542387822
120066.71278798943,754401.4056708465,4057.9350010299045,196.68485751220342,4062.6987835376335,0.0484691986102007,8.328703074979433e-06,4038.529300362994
151924.32032903255,954568.6572946223,4066.995530843358,247.66490175195253,4074.5294883531833,0.06089628077378171,6.582224609162206e-06,4039.406693528999
192234.78823972057,1207846.7969965914,4081.3673474281186,311.3415795827496,4093.225256912881,0.07628364542558073,5.2019720736133376e-06,4040.100274506407
243240.9355495948,1528327.8723498308,4104.038707350956,390.18671098131813,4122.545255162317,0.09507383794466522,4.111150114352805e-06,4040.6485231108445
307780.6741892148,1933843.009899502,4139.493482946356,486.50298662270103,4167.98409921969,0.1175271778122052,3.249066896855351e-06,4041.0818743706295
389444.9065093863,2446954.5145357037,4194.19407769403,601.6886351132281,4237.132659592817,0.14345750911079366,2.567757295795826e-06,4041.4243964291345
492777.3181524187,3096211.2051266376,4276.849358288144,734.8993688553793,4339.529642234714,0.1718319508801991,2.0293141814021046e-06,4041.6951267368872
623527.1824761622,3917736.8315613074,4397.898783569713,881.0059729483156,4485.274265292432,0.20032429492004258,1.6037793188562882e-06,4041.909524309465
788969.2422215093,4957239.950542799,4567.293205877507,1028.2793161607076,4681.615701923724,0.2251397643657839,1.2674765332857451e-06,4042.0895902290717
998308.4661996753,6272557.0868587885,4789.846529172694,1157.392416747001,4927.695909791022,0.24163455127379765,1.001694399935086e-06,4042.3625002985277
1263192.2011050202,7936870.678126904,5059.194203544244,1244.4272469453863,5209.994737244535,0.24597340937685222,7.916451662108238e-07,4043.477040492734
1598358.2138763445,10042780.845037654,5354.5857054822645,1269.26542623316,5502.964909899558,0.23704269499947106,6.256419814522029e-07,4048.2189798882314
2022454.6807929343,12707457.534794744,5645.500363576921,1225.5443551455596,5776.9917190157275,0.21708338964113882,4.944486566235119e-07,4063.281736308799
2559077.746371624,16079159.695932437,5903.184597149346,1124.2674797108657,6009.289954225599,0.19045101185786664,3.9076577545088074e-07,4099.520254669683
3238084.380415824,20345484.202436417,6110.859509935119,987.6932392578052,6190.16493197395,0.16162918451193323,3.088245649335375e-07,4168.932617846283
4097253.578778255,25743803.485968508,6265.854950901809,839.0784862800705,6321.787007791291,0.13391284874210288,2.4406592874297674e-07,4279.683667022061
5184388.334764589,32574472.611706104,6375.028023186089,695.692773721067,6412.8753872046855,0.10912779852744493,1.9288678536952377e-07,4432.449198639894
6559975.331977808,41217540.62134349,6448.827854429099,567.207165497194,6473.7241727348855,0.08795507932618053,1.5243959761941722e-07,4620.138140847558
8300550.340257525,52153895.9394106,6497.339298573739,457.3049840456776,6513.412762079776,0.07038342358787739,1.20473939559166e-07,4830.493593612069
10502956.560718726,65992022.34425334,6528.643854402317,366.0200636673886,6538.896027972322,0.05606372040352276,9.52112859097238e-08,5049.688319663304
13289732.848354978,83501854.16912591,6548.604522653065,291.59058921932626,6555.093154626671,0.04452713371385464,7.52460573444696e-08,5265.281896540581
16815931.605505913,105657614.39025158,6561.235077737888,231.60743504351842,6565.321602884777,0.03529936548522043,5.9467415987382914e-08,5467.857351604727
21277745.6844103,133692019.05419064,6569.188717915151,183.61895482027595,6571.75443334221,0.027951542070867877,4.699745992042175e-08,5651.435428023104
26923424.287846573,169164863.9043596,6574.181969227169,145.40216139942632,6575.789713262678,0.022117148883318654,3.714237792743946e-08,5813.10098996324
34067085.21356643,214049809.27231553,6577.310698394207,115.05447389385806,6578.316924196787,0.017492631741107746,2.9353846791734712e-08,5952.2803844585
43106191.93682186,270844191.8259023,6579.268778330483,90.99879980637286,6579.898056891192,0.013831141859728701,2.3198523345918364e-08,6069.973235565571
54543667.93182964,342707972.94895434,6580.493298774783,71.95200866981284,6580.886653542321,0.010934135999076167,1.8333933853693722e-08,6168.096262593518
69015878.64263259,433639554.6494785,6581.2587142696575,56.88175014830539,6581.5045238646035,0.008642989527971738,1.4489419241882672e-08,6248.991990220196
87328037.98174582,548698245.1517262,6581.737014592902,44.96308308723725,6581.890595269949,0.006831491897586604,1.1451076001604776e-08,6315.096779012675
110499009.32552128,694285751.8520154,6582.03584462664,35.5395652469554,6582.131791497939,0.005399479140784191,9.049854891043229e-09,6368.738012381703
139817993.67201862,878502363.5193558,6582.222524682222,28.0901930267709,6582.282463050206,0.004267584834975941,7.152155267981987e-09,6412.025290324977
176916259.0125925,1111597639.2290993,6582.339135927899,22.202127301576812,6582.376579536053,0.003372984412242233,5.652391733700532e-09,6446.804626333323
223857901.84081522,1406540679.7422602,6582.411974846549,17.54857086610175,6582.435366864052,0.002665978813413733,4.467119506512205e-09,6474.651733021361
283254690.6443776,1779741710.4464521,6582.457470972215,13.871004503512765,6582.472085920597,0.002107268381859222,3.5303916688020055e-09,6496.8874693279895
358411381.11396676,2251965123.741219,6582.485887945913,10.965010090440359,6582.495020617439,0.001665785582696027,2.790089971172044e-09,6514.604236863496
453509588.2076684,2849484781.2914867,6582.5036370608195,8.668999150842259,6582.509345490153,0.001316975975832972,2.2050250446790683e-09,6528.696337232425
573840445.4597622,3605545855.578167,6582.514723016846,6.855272703652826,6582.518292682322,0.0010414367444834172,1.742644680959701e-09,6539.890219612115
726098996.3781608,4562214545.601104,6582.521647209317,5.4229411528425695,6582.523881025423,0.000823839471176163,1.3772226720985417e-09,6548.772458064662
918756697.463105,5772718582.373021,6582.525972023906,4.292323214055095,6582.527371489453,0.000652078431942039,1.088427439779461e-09,6555.814489127991
1162532758.4032273,7304408746.714113,6582.528673332518,3.400518621883639,6582.529551682367,0.0005165976163020751,8.60190814212865e-10,6561.39384472352
1470990544.169478,9242506174.125769,6582.530360676821,2.6979114391371763,6582.530913558876,0.00040985932328609494,6.798140232536985e-10,6565.812004571103
1861292221.9999166,11694843941.63752,6582.531414802793,2.145410971989759,6582.531764424225,0.00032592491198221404,5.372611501731429e-10,6569.309185030875
2355153640.7960835,14797866752.00046,6582.532073572753,1.712277546924387,6582.532296275378,0.00026012445177422836,4.2460074904581696e-10,6572.0764567248725
2980052571.108494,18724222529.411636,6582.532485637708,1.3744125575995618,6582.532629124266,0.00020879692741332674,3.355645499998776e-10,6574.265592272392
3770757530.5229063,23692368312.718304,6582.532743979973,1.1130178292358743,6582.532838078151,0.00016908656174232934,2.6519870129685213e-10,6575.997019628752
4771262256.19114,29978724904.800697,6582.5329068944375,0.9135498017224083,6582.532970287454,0.00013878393236220227,2.0958814382974031e-10,6577.366214857197
6037233455.89847,37933056546.1143,6582.533011142745,0.7649103891951728,6582.533055585203,0.00011620304644129425,1.656387826154022e-10,6578.448821646346
7639108027.173584,47997931316.2947,6582.533080248529,0.6588295191064449,6582.53311321884,0.0001000875363746095,1.309053356023809e-10,6579.304739468596
9666012069.454218,60733345013.815285,6582.533129805517,0.5894050071796905,6582.533156193403,8.954075817877496e-05,1.0345528153850774e-10,6579.981380894151
12230719737.760336,76847878552.5271,6582.533170996248,0.5527741729402834,6582.533194206104,8.39759038930331e-05,8.176133714458883e-11,6580.516262404318
15475927841.675611,97238122429.78769,6582.533213115417,0.5468989275339515,6582.533235834516,8.308335253732995e-05,6.461648117194425e-11,6580.939062275397
